Id	SubIds[0]	SubIds[1]	SubIds[2]	SubIds[3]	SubIds[4]	SubIds[5]	SubIds[6]	SubIds[7]	SubIds[8]	SubIds[9]	SubIds[10]	SubIds[11]	SubIds[12]	SubIds[13]	SubIds[14]	SubIds[15]	SubIds[16]	SubIds[17]	SubIds[18]	SubIds[19]	SubIds[20]	SubIds[21]	SubIds[22]	SubIds[23]	SubIds[24]	SubIds[25]	SubIds[26]	SubIds[27]	SubIds[28]	SubIds[29]	SubIds[30]	SubIds[31]	SubIds[32]	SubIds[33]	SubIds[34]	SubIds[35]	SubIds[36]	SubIds[37]	SubIds[38]	SubIds[39]	SubIds[40]	SubIds[41]	SubIds[42]	SubIds[43]	SubIds[44]	SubIds[45]	SubIds[46]	SubIds[47]	SubIds[48]	SubIds[49]	SubIds[50]	SubIds[51]	SubIds[52]	SubIds[53]	SubIds[54]	SubIds[55]
12010202	100101010	120102021	120102022	120102023																																																				
12010302	100101010	120103021	120103022	120103023																																																				
12010402	100101010	120104021	120104022	120104023																																																				
12010503	100101010	120105031	120105032	120105033																																																				
12010603	100101010	120106031	120106032	120106033																																																				
12010703	100101010	120107031	120107032	120107033																																																				
12010803	100101010	120108031	120108032	120108033																																																				
12010901	100101010	120109011	120109012	120109013																																																				
12011002	100101010	120110021	120110022	120110023																																																				
12011102	100101010	120111021	120111022	120111023																																																				
12011201	100101010	120112011	120112012	120112013																																																				
12011302	100101010	120113021	120113022	120113023																																																				
12011402	100101010	120114021	120114022	120114023																																																				
12011503	100101010	120115031	120115032	120115033																																																				
12011601	100101010	120116011	120116012	120116013																																																				
12020102	100101010	120201021	120201022	120201023																																																				
12020202	100101010	120202021	120202022	120202023																																																				
12020302	100101010	120203021	120203022	120203023																																																				
12020402	100101010	120204021	120204022	120204023																																																				
12020502	100101010	120205021	120205022	120205023																																																				
12020603	100101010	120206031	120206032	120206033																																																				
12020702	100101010	120207021	120207022	120207023																																																				
12020801	100101010	120208011	120208012	120208013																																																				
12020901	100101010	120209011	120209012	120209013																																																				
12021002	100101010	120210021	120210022	120210023																																																				
12021103	100101010	120211031	120211032	120211033																																																				
12021201	100101010	120212011	120212012	120212013																																																				
12030102	100101010	120301021	120301022	120301023																																																				
12030202	100101010	120302021	120302022	120302023																																																				
12030302	100101010	120303021	120303022	120303023																																																				
12030402	100101010	120304021	120304022	120304023																																																				
12030501	100101010	120305011	120305012	120305013																																																				
12030602	100101010	120306021	120306022	120306023																																																				
12030703	100101010	120307031	120307032	120307033																																																				
12030802	100101010	120308021	120308022	120308023																																																				
12040102	100101010	120401021	120401022	120401023																																																				
12040201	100101010	120402011	120402012	120402013																																																				
12040303	100101010	120403031	120403032	120403033																																																				
12040401	100101010	120404011	120404012	120404013																																																				
12050102	100101010	120501021	120501022	120501023																																																				
12050202	100101010	120502021	120502022	120502023																																																				
12050303	100101010	120503031	120503032	120503033																																																				
12050402	100101010	120504021	120504022	120504023																																																				
12060103	100101010	120601031	120601032	120601033																																																				
12060202	100101010	120602021	120602022	120602023																																																				
12060303	100101010	120603031	120603032	120603033																																																				
12060402	100101010	120604021	120604022	120604023																																																				
12070102	100101010	120701021	120701022	120701023																																																				
12070203	100101010	120702031	120702032	120702033																																																				
12070303	100101010	120703031	120703032	120703033																																																				
12070402	100101010	120704021	120704022	120704023																																																				
12080103	100101010	120801031	120801032	120801033																																																				
12080203	100101010	120802031	120802032	120802033																																																				
12080303	100101010	120803031	120803032	120803033																																																				
12080402	100101010	120804021	120804022	120804023																																																				
120101020	1001010100	1201010201	1201010202																																																					
120102020	1001010100	1201020201	1201010202																																																					
120103020	1001010100	1201030201	1201010202																																																					
120104020	1001010100	1201040201	1201010202																																																					
120105030	1001010100	1201050301	1201010202																																																					
120106030	1001010100	1201060301	1201010202																																																					
120107030	1001010100	1201070301	1201010202																																																					
120108030	1001010100	1201080301	1201010202																																																					
120109010	1001010100	1201090101	1201010202																																																					
120110020	1001010100	1201100201	1201010202																																																					
120111020	1001010100	1201110201	1201010202																																																					
120112010	1001010100	1201120101	1201010202																																																					
120113020	1001010100	1201130201	1201010202																																																					
120114020	1001010100	1201140201	1201010202																																																					
120115030	1001010100	1201150301	1201010202																																																					
120116010	1001010100	1201160101	1201010202																																																					
120201020	1001010100	1202010201	1201010202																																																					
120202020	1001010100	1202020201	1201010202																																																					
120203020	1001010100	1202030201	1201010202																																																					
120204020	1001010100	1202040201	1201010202																																																					
120205020	1001010100	1202050201	1201010202																																																					
120206030	1001010100	1202060301	1201010202																																																					
120207020	1001010100	1202070201	1201010202																																																					
120208010	1001010100	1202080101	1201010202																																																					
120209010	1001010100	1202090101	1201010202																																																					
120210020	1001010100	1202100201	1201010202																																																					
120211030	1001010100	1202110301	1201010202																																																					
120212010	1001010100	1202120101	1201010202																																																					
120301020	1001010100	1203010201	1201010202																																																					
120302020	1001010100	1203020201	1201010202																																																					
120303020	1001010100	1203030201	1201010202																																																					
120304020	1001010100	1203040201	1201010202																																																					
120305010	1001010100	1203050101	1201010202																																																					
120306020	1001010100	1203060201	1201010202																																																					
120307030	1001010100	1203070301	1201010202																																																					
120308020	1001010100	1203080201	1201010202																																																					
120401020	1001010100	1204010201	1201010202																																																					
120402010	1001010100	1204020101	1201010202																																																					
120403030	1001010100	1204030301	1201010202																																																					
120404010	1001010100	1204040101	1201010202																																																					
120501020	1001010100	1205010201	1201010202																																																					
120502020	1001010100	1205020201	1201010202																																																					
120503030	1001010100	1205030301	1201010202																																																					
120504020	1001010100	1205040201	1201010202																																																					
120601030	1001010100	1206010301	1201010202																																																					
120602020	1001010100	1206020201	1201010202																																																					
120603030	1001010100	1206030301	1201010202																																																					
120604020	1001010100	1206040201	1201010202																																																					
120701020	1001010100	1207010201	1201010202																																																					
120702030	1001010100	1207020301	1201010202																																																					
120703030	1001010100	1207030301	1201010202																																																					
120704020	1001010100	1207040201	1201010202																																																					
120801030	1001010100	1208010301	1201010202																																																					
120802030	1001010100	1208020301	1201010202																																																					
120803030	1001010100	1208030301	1201010202																																																					
120804020	1001010100	1208040201	1201010202																																																					
210000	2100000	2100001	2100002																																																					
210001	2100010	2100011	2100012																																																					
210002	2100020	2100021	2100022																																																					
210003	2100030	2100031	2100032																																																					
210004	2100040	2100041	2100042																																																					
210005	2100050	2100051	2100052																																																					
210006	2100060	2100061	2100062																																																					
210007	2100070	2100071	2100072																																																					
220000	2200000	2200001																																																						
220001	2200010	2200011																																																						
220002	2200020	2200021																																																						
220003	2200030	2200031																																																						
220004	2200040	2200041																																																						
220005	2200050	2200051																																																						
220006	2200060	2200061																																																						
220007	2200070	2200071																																																						
220008	2200080	2200081																																																						
220009	2200090	2200091																																																						
220010	2200100	2200101																																																						
220011	2200110	2200111																																																						
220012	2200120	2200121																																																						
220013	2200130	2200131																																																						
220014	2200140	2200141																																																						
220015	2200150	2200151																																																						
220016	2200160	2200161																																																						
220017	2200170	2200171																																																						
220018	2200180	2200181																																																						
220019	2200190	2200191																																																						
220020	2200200	2200201																																																						
220021	2200210	2200211																																																						
220022	2200220	2200221																																																						
220023	2200230	2200231																																																						
220024	2200240	2200241																																																						
220025	2200250	2200251																																																						
220026	2200260	2200261																																																						
220027	2200270	2200271																																																						
220028	2200280	2200281																																																						
220029	2200290	2200291																																																						
220030	2200300	2200301																																																						
220031	2200310	2200311																																																						
220032	2200320	2200321																																																						
220033	2200330	2200331																																																						
220034	2200340	2200341																																																						
220035	2200350	2200351																																																						
220036	2200360	2200361																																																						
220037	2200370	2200371																																																						
220038	2200380	2200381																																																						
220039	2200390	2200391																																																						
220040	2200400	2200401																																																						
220041	2200410	2200411																																																						
220042	2200420	2200421																																																						
220043	2200430	2200431																																																						
220044	2200440	2200441																																																						
220045	2200450	2200451																																																						
220046	2200460	2200461																																																						
220047	2200470	2200471																																																						
220048	2200480	2200481																																																						
220049	2200490	2200491																																																						
220050	2200500	2200501																																																						
220051	2200510	2200511																																																						
220052	2200520	2200521																																																						
220053	2200530	2200531																																																						
220054	2200540	2200541																																																						
220055	2200550	2200551																																																						
71000	710000	710001	710002																																																					
71010	710100	710101	710102																																																					
71020	710200	710201	710202																																																					
71030	710300	710301	710302																																																					
71040	710400	710401	710402																																																					
71050	710500	710501	710502																																																					
72000	720000	720001	720002																																																					
72010	720100	720101	720102																																																					
72020	720200	720201	720202																																																					
72030	720300	720301	720302																																																					
72040	720400	720401	720402																																																					
72050	720400	720401	720402																																																					
73000	730000	730001	730002																																																					
73010	730100	730101	730102																																																					
73020	730200	730201	730202																																																					
73030	730300	730301	730302																																																					
74000	740000	740001	740002																																																					
74010	740100	740101	740102																																																					
74020	740200	740201	740202																																																					
74030	740300	740301	740302																																																					
74040	740300	740401	740302																																																					
75000	750000	750001	750002																																																					
75010	750100	750101	750102																																																					
75020	750200	750201	750202																																																					
76000	760000	760001	760002																																																					
76010	760100	760101	760102																																																					
76020	760200	760201	760202																																																					
77000	770000	770001	770002																																																					
77010	770100	770101	770102																																																					
77020	770200	770201	770202																																																					
4001	40010																																																							
4002	40011																																																							
13010111	130101110	130101111	130101112																																																					
13010112	130101120	130101121	130101122																																																					
13010113	130101130	130101131	130101132																																																					
13010114	130101140	130101141	130101142																																																					
13010115	130101150	130101151	130101152																																																					
13010116	130101160	130101161	130101162																																																					
13010101	130101010	130101011																																																						
13010102	130101020	130101021																																																						
13010103	130101030	130101031																																																						
13010201	130102010	130102011																																																						
13010202	130102020	130102021																																																						
13010203	130102030	130102031																																																						
13010301	130103010	130103011																																																						
13010302	130103020	130103021																																																						
13010303	130103030	130103031																																																						
13010401	130104010	130104011																																																						
13010402	130104020	130104021																																																						
13010403	130104030	130104031																																																						
13010501	130105010	130105011																																																						
13010502	130105020	130105021																																																						
13010503	130105030	130105031																																																						
13010601	130106010	130106011																																																						
13010602	130106020	130106021																																																						
13010603	130106030	130106031																																																						
13010701	130107010	130107011																																																						
13010702	130107020	130107021																																																						
13010703	130107030	130107031																																																						
13010801	130108010	130108011																																																						
13010802	130108020	130108021																																																						
13010803	130108030	130108031																																																						
130101010	1301010103	1301011102	1301010204																																																					
130101020	1301010203	1301011102	1301010204																																																					
130101030	1301010303	1301011102	1301010204																																																					
130102010	1301020103	1301011102	1301010204																																																					
130102020	1301020203	1301011102	1301010204																																																					
130102030	1301020303	1301011102	1301010204																																																					
130103010	1301030103	1301011102	1301010204																																																					
130103020	1301030203	1301011102	1301010204																																																					
130103030	1301030303	1301011102	1301010204																																																					
130104010	1301040103	1301011102	1301010204																																																					
130104020	1301040203	1301011102	1301010204																																																					
130104030	1301040303	1301011102	1301010204																																																					
130105010	1301050103	1301011102	1301010204																																																					
130105020	1301050203	1301011102	1301010204																																																					
130105030	1301050303	1301011102	1301010204																																																					
130106010	1301060103	1301011102	1301010204																																																					
130106020	1301060203	1301011102	1301010204																																																					
130106030	1301060303	1301011102	1301010204																																																					
130107010	1301070103	1301011102	1301010204																																																					
130107020	1301070203	1301011102	1301010204																																																					
130107030	1301070303	1301011102	1301010204																																																					
130108010	1301080103	1301011102	1301010204																																																					
130108020	1301080203	1301011102	1301010204																																																					
130108030	1301080303	1301011102	1301010204																																																					
30070000	300700000																																																							
30070001	300700010																																																							
30070101	300701010	300701011	300701012																																																					
30070102	300701010	300701021	300701022																																																					
30070103	300701010	300701031	300701032																																																					
30070104	300701010	300701041	300701042																																																					
30070105	300701010	300701051	300701052																																																					
30070106	300701010	300701061	300701062																																																					
30070107	300701010	300701071	300701072																																																					
30070108	300701010	300701081	300701082																																																					
30070109	300701010	300701091	300701092																																																					
30070110	300701010	300701101	300701102																																																					
10100	101002	101000																																																						
10101	101012	101010																																																						
10102	101022	101020																																																						
10103	101032	101030																																																						
10104	101042	101040																																																						
10105	101052	101050																																																						
10106	101062	101060																																																						
10107	101072	101070																																																						
10108	101082	101080																																																						
10109	101092	101090																																																						
10110	101102	101100																																																						
10111	101112	101110																																																						
10112	101122	101120																																																						
10113	101132	101130																																																						
10114	101142	101140																																																						
10115	101152	101150																																																						
10116	101162	101160																																																						
10117	101172	101170																																																						
10118	101182	101180																																																						
10119	101192	101190																																																						
10120	101202	101200																																																						
10121	101212	101210																																																						
10122	101222	101220																																																						
10123	101232	101230																																																						
10124	101242	101240																																																						
10125	101252	101250																																																						
10126	101262	101260																																																						
10127	101272	101270																																																						
10128	101282	101280																																																						
10129	101292	101290																																																						
10130	101302	101300																																																						
10131	101312	101310																																																						
10132	101322	101320																																																						
10133	101332	101330																																																						
10134	101342	101340																																																						
10135	101352	101350																																																						
10136	101362	101360																																																						
10137	101372	101370																																																						
10138	101382	101380																																																						
10139	101392	101390																																																						
10140	101402	101400																																																						
10141	101412	101410																																																						
10142	101422	101420																																																						
10143	101432	101430																																																						
10144	101442	101440																																																						
10145	101452	101450																																																						
10146	101462	101460																																																						
10147	101472	101470																																																						
10148	101482	101480																																																						
10149	101492	101490																																																						
10150	101502	101500																																																						
10151	101512	101510																																																						
10152	101522	101520																																																						
10153	101532	101530																																																						
38010	380102	380103	380100																																																					
38020	380202	380203	380200																																																					
38030	380302	380303	380300																																																					
38040	380402	380403	380400																																																					
38050	380502	380503	380500																																																					
38060	380602	380603	380600																																																					
38070	380702	380703	380700																																																					
38080	380802	380803	380800																																																					
221000	2210000	2210002	2210001																																																					
221001	2210010	2210012	2210011																																																					
221002	2210020	2210022	2210021																																																					
221003	2210030	2210032	2210031																																																					
221004	2210040	2210042	2210041																																																					
221005	2210050	2210052	2210051																																																					
221006	2210060	2210062	2210061																																																					
221007	2210070	2210072	2210071																																																					
221008	2210080	2210082	2210081																																																					
221009	2210090	2210092	2210091																																																					
221010	2210100	2210102	2210101																																																					
221011	2210110	2210112	2210111																																																					
221012	2210120	2210122	2210121																																																					
221013	2210130	2210132	2210131																																																					
221014	2210140	2210142	2210141																																																					
221015	2210150	2210152	2210151																																																					
40000	400000	400006	400001																																																					
40001	400010	400016	400003																																																					
40002	400020	400026	400013																																																					
40003	400030	400036	400004																																																					
40004	400040	400046	400023																																																					
40005	400050	400056	400005																																																					
40006	400060	400066	400014																																																					
40007	400070	400076	400024																																																					
40008	400080	400086	400011																																																					
40009	400090	400096	400034																																																					
40010	400100	400106	400044																																																					
40011	400110	400116	400003																																																					
40012	400120	400126	400054																																																					
40013	400130	400136	400043																																																					
40014	400140	400146	400064																																																					
40015	400150	400156	400053																																																					
40016	400160	400166	400074																																																					
40017	400170	400176	400005																																																					
40018	400180	400186	400063																																																					
40019	400190	400196	400073																																																					
40020	400200	400206	400021																																																					
40021	400210	400216	400083																																																					
40022	400220	400226	400093																																																					
40023	400230	400236	400084																																																					
40024	400240	400246	400094																																																					
40025	400250	400256	400104																																																					
40026	400260	400266	400103																																																					
40027	400270	400276	400113																																																					
40028	400280	400286	400025																																																					
40029	400290	400296	400114																																																					
40030	400300	400306	400124																																																					
40031	400310	400316	400031																																																					
40100	401000	401011																																																						
40101	401010	401021																																																						
40102	401020	401031																																																						
40103	401030	401031																																																						
200101000	2001010001	2001010002																																																						
200101001	2001010000	2001010001	2001010002																																																					
200101002	2001010010	2001010011	2001010012	2001010000	2001010001	2001010002																																																		
200101003	2001010010	2001010011	2001010012	2001010000	2001010001	2001010002																																																		
200101004	2001010040																																																							
200101005	2001010051	2001010055	2001010057																																																					
200101006	2001010061	2001010051	2001010053	2001010055	2001010057																																																			
200101007	2001010061	2001010051	2001010053	2001010055	2001010057																																																			
200101009	2001010097	2001010093	2001010096	2001010092	2001010095	2001010091																																																		
200101010	2001010097	2001010093	2001010096	2001010092	2001010095	2001010091																																																		
200101011	2001010097	2001010093	2001010096	2001010092	2001010095	2001010091																																																		
200101012	2001010097	2001010093	2001010096	2001010092	2001010095	2001010091																																																		
200101013	2001010050	2001010052	2001010054																																																					
200101014	2001010050	2001010052	2001010054																																																					
200101015	2001010050	2001010052	2001010054																																																					
200101016	2001010050	2001010052	2001010054																																																					
200101017	2001010050	2001010052	2001010054																																																					
200101018	2001010050	2001010052	2001010054																																																					
200101019	2001010050	2001010052																																																						
200101020	2001010050	2001010052																																																						
200101021	2001010050	2001010052																																																						
200101022	2001010050	2001010052																																																						
200101023	2001010050	2001010052																																																						
200101024	2001010050	2001010052																																																						
200101025	2001010097	2001010093	2001010096	2001010092	2001010095	2001010091																																																		
200101026	2001010097	2001010093	2001010096	2001010092	2001010095	2001010091																																																		
200101027	2001010097	2001010093	2001010096	2001010092	2001010095	2001010091																																																		
200101028	2001010097	2001010093	2001010096	2001010092	2001010095	2001010091																																																		
200101029	2001010097	2001010093	2001010096	2001010092	2001010095	2001010091																																																		
200101030	2001010097	2001010093	2001010096	2001010092	2001010095	2001010091																																																		
200101031	2001010097	2001010093	2001010096	2001010092	2001010095	2001010091																																																		
200101032	2001010097	2001010093	2001010096	2001010092	2001010095	2001010091																																																		
200101033	2001010097	2001010093	2001010096	2001010092	2001010095	2001010091																																																		
200101034	2001010097	2001010093	2001010096	2001010092	2001010095	2001010091																																																		
200101035	2001010097	2001010093	2001010096	2001010092	2001010095	2001010091																																																		
200101036	2001010097	2001010093	2001010096	2001010092	2001010095	2001010091																																																		
300701	3007010																																																							
300702	3007020																																																							
300703	3007030																																																							
300704	3007040																																																							
300705	3007050																																																							
300706	3007060																																																							
300707	3007070																																																							
300708	3007080																																																							
300709	3007090																																																							
300710	3007100																																																							
20101040	201010400																																																							
8001	80010																																																							
8002	80020																																																							
8003	80030																																																							
8004	80040																																																							
8005	80050																																																							
8006	80060																																																							
8007	80070																																																							
8008	80080																																																							
8009	80090																																																							
8010	80100																																																							
8011	80110																																																							
8012	80120																																																							
8013	80130																																																							
10110020	101100200																																																							
10110021	101100210																																																							
10110022	101100220	101100221																																																						
10210010	102100100																																																							
10210011	102100110																																																							
10210012	102100120	102100121																																																						
10310010	103100100																																																							
10310011	103100110																																																							
10310012	103100120	103100121																																																						
10510010	105100100																																																							
10510011	105100110																																																							
10510012	105100120	105100121																																																						
10310020	103100200																																																							
10310021	103100210																																																							
10310022	103100220	103100221																																																						
10210020	102100200																																																							
10210021	102100210																																																							
10210022	102100220	102100221																																																						
10310030	103100300																																																							
10310031	103100310																																																							
10310032	103100320	103100321																																																						
10610030	106100300																																																							
10610031	106100310																																																							
10610032	106100320	106100321																																																						
10810020	108100200																																																							
10810021	108100210																																																							
10810022	108100220	108100221																																																						
10710020	107100200																																																							
10710021	107100210																																																							
10710022	107100220	107100221																																																						
10610020	106100200																																																							
10610021	106100210																																																							
10610022	106100220	106100221																																																						
10410020	104100200																																																							
10410021	104100210																																																							
10410022	104100220	104100221																																																						
10710030	107100300																																																							
10710031	107100310																																																							
10710032	107100320	107100321																																																						
10110030	101100300																																																							
10110031	101100310																																																							
10110032	101100320	101100321																																																						
10510030	105100300																																																							
10510031	105100310																																																							
10510032	105100320	105100321																																																						
90001	900010	900011	900012	900013																																																				
90002	900020	900021	900022	900023																																																				
90003	900030	900031	900032	900033																																																				
90004	900040	900041	900042	900043	900044																																																			
90005	900050	900051	900052	900053																																																				
90006	900060	900061	900062	900063																																																				
90007	900070	900071	900072	900073																																																				
90008	900080	900081	900082	900083																																																				
90009	900090	900091																																																						
90010	900100																																																							
90011	900110																																																							
90012	900120																																																							
90013	9001300	9001301	9001302	9001303	9001304	9001305	9001306	9001307	9001308	9001309	9001310	9001311	9001312	9001313	9001314	9001315	9001316	9001317	9001318	9001319	9001320	9001321	9001322	9001323	9001324	9001325	9001326	9001327	9001328	9001329	9001330	9001331	9001332	9001333	9001334	9001335	9001336	9001337	9001338	9001339	9001340	9001341	9001342	9001343	9001344	9001345										
90014	900140	900141	900142																																																					
90015	900150	900151																																																						
90016	900160	900161	900162																																																					
90017	900170																																																							
90018	900180																																																							
90019	900190	900191																																																						
90020	900200																																																							
90021	900210																																																							
90022	900220																																																							
90023	900230																																																							
90024	900240	900241	900242	900243																																																				
90025	900250	900251	900252																																																					
90026	900260																																																							
90027	900270																																																							
91000	910000																																																							
91001	910010																																																							
12001	120010	120011	120012																																																					
12002	120020	120021	120022																																																					
12003	120030	120031	120032																																																					
12004	120040	120041	120042																																																					
