Id	Name	Description	WorldDesc	BigIcon	Icon	ItemType	Quality	Priority	MaxCount	GridCount	TimelinessType	StartTime	Duration	RecycleRewardId	SellForId	SellForCount	RecType	RecTime	RecCount	SkipIdParams[0]	SkipIdParams[1]	SkipIdParams[2]	SkipIdParams[3]	SkipIdParams[4]	SkipIdParams[5]	SubTypeParams[0]	SubTypeParams[1]	SubTypeParams[2]	SubTypeParams[3]	SubTypeParams[4]	SubTypeParams[5]	SubTypeParams[6]	SubTypeParams[7]
90030	中型血清组β	使用后可获得60毫升血清。	保证指挥官行动的中型血清组，能保存少量血清，是免疫血清的强化版，保存技术更加精湛。	Assets/Product/Texture/Image/IconTools/ItBatI010020.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010020Sp.png	16	4	4010	999	999	3		1728000	810												1	1107	90000					
90031	中型血清组β	使用后可获得60毫升血清。	保证指挥官行动的中型血清组，能保存少量血清，是免疫血清的强化版，保存技术更加精湛。	Assets/Product/Texture/Image/IconTools/ItBatI010020.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010020Sp.png	16	4	4010	999	999	3		1209600	810												1	1107	90000					
90040	血清巧克力	使用后可获得30毫升血清。	看起来像是空中花园商店街统一出品的巧克力礼盒，左上角的自制血清贴纸出卖了赠送者亲手制作的真实心意。	Assets/Product/Texture/Image/IconTools/IconActivityBat2002001.png	Assets/Product/Texture/Image/IconToolsSp/IconActivityBat2002001Sp.png	16	4	4010	999	999																1	1106	90000					
90101	初级装备突破黑盒	使用后随机获得装备突破材料。	黑盒中藏有各类不明的数据，通过分析打开后或许能得知其中奥秘。	Assets/Product/Texture/Image/IconTools/ItCaseBreach001.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseBreach001Sp.png	16	4	1000	999	99					1	10										2	9011						
90104	初级基地黑盒	使用后随机获得45-50级的基地装备。	黑盒中藏有各类不明的数据，通过分析打开后或许能得知其中奥秘。	Assets/Product/Texture/Image/IconTools/ItCaseI020010.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseI020010Sp.png	16	3	997	999	99					1	10										2	9014						
90106	小型装备经验套组	使用后随机获得装备改升级能量材料。	空中花园分发的装备强化套组，需要指挥官的身份识别才能打开。	Assets/Product/Texture/Image/IconTools/ItCaseEexp001.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseEexp001Sp.png	16	3	995	999	99					1	10										1	1008						
90107	中级基地黑盒	使用后随机获得55-60级的基地装备。	黑盒中藏有各类不明的数据，通过分析打开后或许能得知其中奥秘。	Assets/Product/Texture/Image/IconTools/ItCaseI020030.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseI020030Sp.png	16	4	997	999	99					1	10										2	9017						
90108	小型意识经验套组	使用后随机获得意识升级材料。	空中花园分发的意识强化套组，需要指挥官的身份识别才能打开。	Assets/Product/Texture/Image/IconTools/ItCaseIexp001.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseIexp001Sp.png	16	4	997	999	99					1	10										2	9018						
90110	中级装备突破黑盒	使用后随机获得装备突破材料。	黑盒中藏有各类不明的数据，通过分析打开后或许能得知其中奥秘。	Assets/Product/Texture/Image/IconTools/ItCaseBreach002.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseBreach002Sp.png	16	4	1000	999	99					1	10										2	9011						
91000	2-4星意识箱	使用后随机获得2-4星意识一件。	含有意识芯片的箱子，需要指挥官的身份识别才能打开。	Assets/Product/Texture/Image/IconTools/ItCaseI004.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseI004Sp.png	16	3	1000	999	99					1	10										2	9100						
91006	6星意识箱	使用后随机获得6星装备一件。	含有高级意识芯片的箱子，需要指挥官的身份识别才能打开。	Assets/Product/Texture/Image/IconTools/ItCaseI003.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseI003Sp.png	16	6	1000	999	99					1	10										2	9106						
92000	2-4星武器箱	使用后随机获得2-4星武器一件。	含有武器的箱子，需要指挥官的身份识别才能打开。	Assets/Product/Texture/Image/IconTools/ItCaseW004.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseW004Sp.png	16	3	1000	999	99					1	10										2	9200						
93000	5星武器箱	使用后随机获得5星武器一件。	含有高级武器的箱子，需要指挥官的身份识别才能打开。	Assets/Product/Texture/Image/IconTools/ItCaseW002.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseW002Sp.png	16	5	1000	999	99					1	10										2	9300						
94000	汉娜意识1	使用后获得6星意识-汉娜1。	在仓库-材料界面使用该道具。	Assets/Product/Texture/Image/IconTools/leijichongzhi01.png	Assets/Product/Texture/Image/IconToolsSp/leijichongzhi01Sp.png	16	6	10000	9	1					1	100										1	1120						
94001	汉娜意识2	使用后获得6星意识-汉娜2。	在仓库-材料界面使用该道具。	Assets/Product/Texture/Image/IconTools/leijichongzhi02.png	Assets/Product/Texture/Image/IconToolsSp/leijichongzhi02Sp.png	16	6	10001	9	1					1	100										1	1121						
94002	汉娜意识二件套	使用后可获得6星意识-汉娜3、汉娜4，2件套。	在仓库-材料界面使用该道具。	Assets/Product/Texture/Image/IconTools/leijichongzhi03.png	Assets/Product/Texture/Image/IconToolsSp/leijichongzhi03Sp.png	16	6	10002	9	1					1	100										1	1122						
94003	康德丽娜意识二件套	使用后可获得6星意识-康德丽娜5、康德丽娜6，2件套。	在仓库-材料界面使用该道具。	Assets/Product/Texture/Image/IconTools/leijichongzhi04.png	Assets/Product/Texture/Image/IconToolsSp/leijichongzhi04Sp.png	16	6	10003	9	1					1	100										1	1123						
94004	6星武器-天狼星	使用后可获得6星武器-天狼星。	在仓库-材料界面使用该道具。	Assets/Product/Texture/Image/IconTools/leijichongzhi09.png	Assets/Product/Texture/Image/IconToolsSp/leijichongzhi09Sp.png	16	6	10004	9	1					1	100										1	1124						
94005	骸骨新娘-仰光	使用后可获得仰光皮肤-骸骨新娘。	在仓库-材料界面使用该道具。	Assets/Product/Texture/Image/IconTools/leijichongzhi10.png	Assets/Product/Texture/Image/IconToolsSp/leijichongzhi10Sp.png	16	6	10005	9	1					1	100										1	1128						
94006	A级构造体任选	使用后可在黎明、流光、异火、零度、爆裂、夜刃6个A级构造体中，任选获得其中1个。	在仓库-材料界面使用该道具。	Assets/Product/Texture/Image/IconTools/leijichongzhi05.png	Assets/Product/Texture/Image/IconToolsSp/leijichongzhi05Sp.png	16	6	10006	9	1					1	100										3	1130	1					
94007	【和风樱花】家具套装	使用后可获得【和风樱花】家具套装。	在仓库-材料界面使用该道具。	Assets/Product/Texture/Image/IconTools/leijichongzhi06.png	Assets/Product/Texture/Image/IconToolsSp/leijichongzhi06Sp.png	16	6	10007	9	1					1	100										1	1125						
94008	S级构造体任选	使用后可在仰光、乱数、烬燃、暗能、脉冲5个S级构造体中，任选获得其中1个。	在仓库-材料界面使用该道具。	Assets/Product/Texture/Image/IconTools/leijichongzhi07.png	Assets/Product/Texture/Image/IconToolsSp/leijichongzhi07Sp.png	16	6	10008	9	1					1	100										3	1131	1					
94009	头像-特殊身份	使用后可获得头像-特殊身份。	在仓库-材料界面使用该道具。	Assets/Product/Texture/Image/IconTools/leijichongzhi08.png	Assets/Product/Texture/Image/IconToolsSp/leijichongzhi08Sp.png	16	6	10009	9	1					1	100										1	1127						
94010	新春A级构造体任选	使用后可在黎明、流光、异火、零度、爆裂、夜刃、重能7个A级构造体中，任选获得其中1个。	在仓库-材料界面使用该道具。	Assets/Product/Texture/Image/IconTools/leijichongzhi05.png	Assets/Product/Texture/Image/IconToolsSp/leijichongzhi05Sp.png	16	6	10006	9	1					1	100										3	1139	1					
94011	新春B级构造体任选	使用后可在红莲、风暴、蚀暗3个B级构造体中，任选获得其中1个。	在仓库-材料界面使用该道具。	Assets/Product/Texture/Image/IconTools/leijichongzhi11.png	Assets/Product/Texture/Image/IconToolsSp/leijichongzhi11Sp.png	16	5	10006	99	1					1	100										3	1140	1					
95000	涂装自选补给包	在仓库-材料界面使用该道具。	使用后可在16个涂装中，任选获得其中1个。包含的涂装有：灰羽异火、灰羽夜刃、灰羽暗能、灰羽爆裂、灰羽红莲、灰羽蚀暗、灰羽流光、灰羽黎明、灰羽乱数、灰羽烬燃、鬼装神机、蓟、哥特机兵、终焉灰烬、灰羽脉冲、辉煌流星。	Assets/Product/Texture/Image/IconTools/ItCaseI010050.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseI010050Sp.png	16	5	10000	9	1					1	100										3	1132	1					
95100	[得闲饮茶]图纸合集	使用后可获得全套【得闲饮茶】家具图纸。	在仓库-材料界面使用该道具。	Assets/Product/Texture/Image/IconTools/ItCaseDorm003.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseDorm003Sp.png	16	5	10000	9	1					1	100										1	1134						
95101	[得闲饮茶]套装	使用后可获得全套【得闲饮茶】家具。	在仓库-材料界面使用该道具。	Assets/Product/Texture/Image/IconTools/ItCaseDorm002.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseDorm002Sp.png	16	5	10001	9	1					1	100										1	1136						
95102	[得闲饮茶]自选图纸	使用后可在【得闲饮茶】家具图纸中任选一件获得。	在仓库-材料界面使用该道具。	Assets/Product/Texture/Image/IconTools/ItCaseDorm001.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseDorm001Sp.png	16	4	10002	99	99					1	100										3	1138	1					
96000	年禧红封	价值150000螺母的红封，和小队成员们一起分享吧	咦，这段时间大家身上怎么都带着这个喜庆的箱子呀，是和过去的节日“春节”有关吗？——随身日记4013号，七实	Assets/Product/Texture/Image/IconTools/NewyearGift.png	Assets/Product/Texture/Image/IconToolsSp/NewyearGiftSp.png	16	5	10000	999	1	1	2020/1/20 5:00	1450800	810												4	1						
2000	浅色天花板图纸	类型：天花板。	在家具改装时使用，可以将其他家具改装为浅色天花板。	Assets/Product/Texture/Image/IconTools/IconBlueBasisceiling001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueBasisceiling001Sp.png	16388	4	10	99999	999					1	10				10015						211101001							
2001	金属墙图纸	类型：墙。	在家具改装时使用，可以将其他家具改装为金属墙。	Assets/Product/Texture/Image/IconTools/IconBlueBasiswall001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueBasiswall001Sp.png	16388	4	10	99999	999					1	10				10015						211201001							
2002	金属地板图纸	类型：地板。	在家具改装时使用，可以将其他家具改装为金属地板。	Assets/Product/Texture/Image/IconTools/IconBlueBasisfloor001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueBasisfloor001Sp.png	16388	4	10	99999	999					1	10				10015						212102001							
2003	培育装置图纸	类型：小件-物件。	在家具改装时使用，可以将其他家具改装为培育装置。	Assets/Product/Texture/Image/IconTools/IconBlueBasistrays001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueBasistrays001Sp.png	16388	4	10	99999	999					1	10				10015						212102002							
2004	宿舍茶几图纸	类型：小件-物件。	在家具改装时使用，可以将其他家具改装为宿舍茶几。	Assets/Product/Texture/Image/IconTools/IconBlueBasisteatable001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueBasisteatable001Sp.png	16388	4	10	99999	999					1	10				10015						212102003							
2005	收纳箱图纸	类型：小件-矮柜。	在家具改装时使用，可以将其他家具改装为收纳箱。	Assets/Product/Texture/Image/IconTools/IconBlueBasiscabinet001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueBasiscabinet001Sp.png	16388	4	10	99999	999					1	10				10015						211301001							
2006	电缆图纸	类型：挂饰。	在家具改装时使用，可以将其他家具改装为电缆。	Assets/Product/Texture/Image/IconTools/IconBlueBasiscable001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueBasiscable001Sp.png	16388	4	10	99999	999					1	10				10015						211101001							
2007	温度调节器图纸	类型：挂饰。	在家具改装时使用，可以将其他家具改装为温度调节器。	Assets/Product/Texture/Image/IconTools/IconBlueBasisairconditioning001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueBasisairconditioning001Sp.png	16388	4	10	99999	999					1	10				10015						211201001							
2008	宿舍窗户图纸	类型：挂饰。	在家具改装时使用，可以将其他家具改装为宿舍窗户。	Assets/Product/Texture/Image/IconTools/IconBlueBasiswindow001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueBasiswindow001Sp.png	16388	4	10	99999	999					1	10				10015						212102001							
2009	沙发凳图纸	类型：小件-板凳。	在家具改装时使用，可以将其他家具改装为沙发凳。	Assets/Product/Texture/Image/IconTools/IconBlueBasisstool001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueBasisstool001Sp.png	16388	4	10	99999	999					1	10				10015						212102002							
2010	长沙发图纸	类型：大件-沙发。	在家具改装时使用，可以将其他家具改装为长沙发。	Assets/Product/Texture/Image/IconTools/IconBlueBasissofa001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueBasissofa001Sp.png	16388	4	10	99999	999					1	10				10015						212102003							
2011	电脑椅图纸	类型：小件-椅子。	在家具改装时使用，可以将其他家具改装为电脑椅。	Assets/Product/Texture/Image/IconTools/IconBlueBasischair001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueBasischair001Sp.png	16388	4	10	99999	999					1	10				10015						211301001							
2012	电脑桌图纸	类型：大件-桌子。	在家具改装时使用，可以将其他家具改装为电脑桌。	Assets/Product/Texture/Image/IconTools/IconBlueBasistable001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueBasistable001Sp.png	16388	4	10	99999	999					1	10				10015						211101001							
2013	宿舍床图纸	类型：大件-床。	在家具改装时使用，可以将其他家具改装为宿舍床。	Assets/Product/Texture/Image/IconTools/IconBlueBasisbed001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueBasisbed001Sp.png	16388	4	10	99999	999					1	10				10015						211201001							
2014	数据终端图纸	类型：小件-物件。	在家具改装时使用，可以将其他家具改装为数据终端。	Assets/Product/Texture/Image/IconTools/IconBlueBasisterminal001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueBasisterminal001Sp.png	16388	4	10	99999	999					1	10				10015						212102001							
2015	更衣柜图纸	类型：大件-柜子。	在家具改装时使用，可以将其他家具改装为更衣柜。	Assets/Product/Texture/Image/IconTools/IconBlueBasiswardrobe001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueBasiswardrobe001Sp.png	16388	4	10	99999	999					1	10				10015						212102002							
2016	中央处理器图纸	类型：小件-挂饰。	在家具改装时使用，可以将其他家具改装为中央处理器。	Assets/Product/Texture/Image/IconTools/IconBlueBasisprocessor001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueBasisprocessor001Sp.png	16388	4	10	99999	999					1	10				10015						212102003							
2017	咖啡柜台图纸	类型：大件-桌子。	在家具改装时使用，可以将其他家具改装为咖啡柜台。	Assets/Product/Texture/Image/IconTools/IconBlueCoffeecounter001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueCoffeecounter001Sp.png	16388	4	10	99999	999					1	10				10015						211301001							
2018	风景画框图纸	类型：挂饰。	在家具改装时使用，可以将其他家具改装为风景画框。	Assets/Product/Texture/Image/IconTools/IconBlueCoffeeframe001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueCoffeeframe001Sp.png	16388	4	10	99999	999					1	10				10015						211101001							
2019	深色皮沙发图纸	类型：大件-沙发。	在家具改装时使用，可以将其他家具改装为深色皮沙发。	Assets/Product/Texture/Image/IconTools/IconBlueCoffeesofa001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueCoffeesofa001Sp.png	16388	4	10	99999	999					1	10				10015						211201001							
2020	挂壁灯图纸	类型：挂饰。	在家具改装时使用，可以将其他家具改装为挂壁灯。	Assets/Product/Texture/Image/IconTools/IconBlueCoffeedroplight001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueCoffeedroplight001Sp.png	16388	4	10	99999	999					1	10				10015						212102001							
2021	落地窗图纸	类型：挂饰。	在家具改装时使用，可以将其他家具改装为落地窗。	Assets/Product/Texture/Image/IconTools/IconBlueCoffeewindow001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueCoffeewindow001Sp.png	16388	4	10	99999	999					1	10				10015						212102002							
2022	菜单黑板图纸	类型：挂饰。	在家具改装时使用，可以将其他家具改装为菜单黑板。	Assets/Product/Texture/Image/IconTools/IconBlueCoffeeblackboard001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueCoffeeblackboard001Sp.png	16388	4	10	99999	999					1	10				10015						212102003							
2023	浪漫圆桌图纸	类型：大件-桌子。	在家具改装时使用，可以将其他家具改装为浪漫圆桌。	Assets/Product/Texture/Image/IconTools/IconBlueCoffeecombination001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueCoffeecombination001Sp.png	16388	4	10	99999	999					1	10				10015						211301001							
2024	盆栽植物图纸	类型：小件-物件。	在家具改装时使用，可以将其他家具改装为盆栽植物。	Assets/Product/Texture/Image/IconTools/IconBlueCoffeeflowerpot001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueCoffeeflowerpot001Sp.png	16388	4	10	99999	999					1	10				10015						211101001							
2025	置物柜图纸	类型：大件-柜子。	在家具改装时使用，可以将其他家具改装为置物柜。	Assets/Product/Texture/Image/IconTools/IconBlueCoffeelocker001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueCoffeelocker001Sp.png	16388	4	10	99999	999					1	10				10015						211201001							
2026	长桌图纸	类型：大件-桌子。	在家具改装时使用，可以将其他家具改装为长桌。	Assets/Product/Texture/Image/IconTools/IconBlueCoffeetable001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueCoffeetable001Sp.png	16388	4	10	99999	999					1	10				10015						212102001							
2027	高脚凳图纸	类型：小件-椅子。	在家具改装时使用，可以将其他家具改装为高脚凳。	Assets/Product/Texture/Image/IconTools/IconBlueCoffeestool001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueCoffeestool001Sp.png	16388	4	10	99999	999					1	10				10015						212102002							
2028	咖啡茶几图纸	类型：小件-物件。	在家具改装时使用，可以将其他家具改装为咖啡茶几。	Assets/Product/Texture/Image/IconTools/IconBlueCoffeeteatable001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueCoffeeteatable001Sp.png	16388	4	10	99999	999					1	10				10015						212102003							
2029	桌椅组合图纸	类型：大件-桌子。	在家具改装时使用，可以将其他家具改装为桌椅组合。	Assets/Product/Texture/Image/IconTools/IconBlueCoffeecombination003.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueCoffeecombination003Sp.png	16388	4	10	99999	999					1	10				10015						211301001							
2030	咖啡厅地板图纸	类型：地板。	在家具改装时使用，可以将其他家具改装为咖啡厅地板。	Assets/Product/Texture/Image/IconTools/IconBlueCoffeefloor001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueCoffeefloor001Sp.png	16388	4	10	99999	999					1	10				10015						211101001							
2031	咖啡厅天花板图纸	类型：天花板。	在家具改装时使用，可以将其他家具改装为咖啡厅天花板。	Assets/Product/Texture/Image/IconTools/IconBlueCoffeeceiling001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueCoffeeceiling001Sp.png	16388	4	10	99999	999					1	10				10015						211201001							
2032	咖啡厅白墙图纸	类型：墙。	在家具改装时使用，可以将其他家具改装为咖啡厅白墙。	Assets/Product/Texture/Image/IconTools/IconBlueCoffeewall001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueCoffeewall001Sp.png	16388	4	10	99999	999					1	10				10015						212102001							
2033	储物柜图纸	类型：大件-柜子。	在家具改装时使用，可以将其他家具改装为储物柜。	Assets/Product/Texture/Image/IconTools/IconBluePunklocker001.png	Assets/Product/Texture/Image/IconToolsSp/IconBluePunklocker001Sp.png	16388	4	10	99999	999					1	10				10015						212102002							
2034	灯管图纸	类型：挂饰。	在家具改装时使用，可以将其他家具改装为灯管。	Assets/Product/Texture/Image/IconTools/IconBluePunktube001.png	Assets/Product/Texture/Image/IconToolsSp/IconBluePunktube001Sp.png	16388	4	10	99999	999					1	10				10015						212102003							
2035	办公桌图纸	类型：大件-桌子。	在家具改装时使用，可以将其他家具改装为办公桌。	Assets/Product/Texture/Image/IconTools/IconBluePunkdesk001.png	Assets/Product/Texture/Image/IconToolsSp/IconBluePunkdesk001Sp.png	16388	4	10	99999	999					1	10				10015						211301001							
2036	百叶窗图纸	类型：挂饰。	在家具改装时使用，可以将其他家具改装为百叶窗。	Assets/Product/Texture/Image/IconTools/IconBluePunkshutters001.png	Assets/Product/Texture/Image/IconToolsSp/IconBluePunkshutters001Sp.png	16388	4	10	99999	999					1	10				10015						211101001							
2037	设备箱图纸	类型：小件-物件。	在家具改装时使用，可以将其他家具改装为设备箱。	Assets/Product/Texture/Image/IconTools/IconBluePunkcabinet001.png	Assets/Product/Texture/Image/IconToolsSp/IconBluePunkcabinet001Sp.png	16388	4	10	99999	999					1	10				10015						211201001							
2038	自动贩卖机图纸	类型：大件-柜子。	在家具改装时使用，可以将其他家具改装为自动贩卖机。	Assets/Product/Texture/Image/IconTools/IconBluePunkmachines001.png	Assets/Product/Texture/Image/IconToolsSp/IconBluePunkmachines001Sp.png	16388	4	10	99999	999					1	10				10015						212102001							
2039	控制终端图纸	类型：挂饰。	在家具改装时使用，可以将其他家具改装为控制终端。	Assets/Product/Texture/Image/IconTools/IconBluePunkterminal001.png	Assets/Product/Texture/Image/IconToolsSp/IconBluePunkterminal001Sp.png	16388	4	10	99999	999					1	10				10015						212102002							
2040	杂乱置物架图纸	类型：大件-柜子。	在家具改装时使用，可以将其他家具改装为杂乱置物架。	Assets/Product/Texture/Image/IconTools/IconBluePunklocker002.png	Assets/Product/Texture/Image/IconToolsSp/IconBluePunklocker002Sp.png	16388	4	10	99999	999					1	10				10015						212102003							
2041	马桶图纸	类型：小件-椅子。	在家具改装时使用，可以将其他家具改装为马桶。	Assets/Product/Texture/Image/IconTools/IconBluePunktoilet001.png	Assets/Product/Texture/Image/IconToolsSp/IconBluePunktoilet001Sp.png	16388	4	10	99999	999					1	10				10015						211301001							
2042	维修台图纸	类型：大件-床。	在家具改装时使用，可以将其他家具改装为维修台。	Assets/Product/Texture/Image/IconTools/IconBluePunkrepairstation001.png	Assets/Product/Texture/Image/IconToolsSp/IconBluePunkrepairstation001Sp.png	16388	4	10	99999	999					1	10				10015						211101001							
2043	吧椅图纸	类型：小件-椅子。	在家具改装时使用，可以将其他家具改装为吧椅。	Assets/Product/Texture/Image/IconTools/IconBluePunkchair001.png	Assets/Product/Texture/Image/IconToolsSp/IconBluePunkchair001Sp.png	16388	4	10	99999	999					1	10				10015						211201001							
2044	吧台图纸	类型：大件-桌子。	在家具改装时使用，可以将其他家具改装为吧台。	Assets/Product/Texture/Image/IconTools/IconBluePunkbar001.png	Assets/Product/Texture/Image/IconToolsSp/IconBluePunkbar001Sp.png	16388	4	10	99999	999					1	10				10015						212102001							
2045	布艺沙发图纸	类型：大件-沙发。	在家具改装时使用，可以将其他家具改装为布艺沙发。	Assets/Product/Texture/Image/IconTools/IconBluePunksofa001.png	Assets/Product/Texture/Image/IconToolsSp/IconBluePunksofa001Sp.png	16388	4	10	99999	999					1	10				10015						212102002							
2046	拼接沙发图纸	类型：大件-沙发。	在家具改装时使用，可以将其他家具改装为拼接沙发。	Assets/Product/Texture/Image/IconTools/IconBluePunksofa002.png	Assets/Product/Texture/Image/IconToolsSp/IconBluePunksofa002Sp.png	16388	4	10	99999	999					1	10				10015						212102003							
2047	海报α图纸	类型：挂饰。	在家具改装时使用，可以将其他家具改装为海报α。	Assets/Product/Texture/Image/IconTools/IconBluePunkposters001.png	Assets/Product/Texture/Image/IconToolsSp/IconBluePunkposters001Sp.png	16388	4	10	99999	999					1	10				10015						211301001							
2048	海报β图纸	类型：挂饰。	在家具改装时使用，可以将其他家具改装为海报β。	Assets/Product/Texture/Image/IconTools/IconBluePunkposters002.png	Assets/Product/Texture/Image/IconToolsSp/IconBluePunkposters002Sp.png	16388	4	10	99999	999					1	10				10015						212102001							
2049	海报γ图纸	类型：挂饰。	在家具改装时使用，可以将其他家具改装为海报γ。	Assets/Product/Texture/Image/IconTools/IconBluePunkposters003.png	Assets/Product/Texture/Image/IconToolsSp/IconBluePunkposters003Sp.png	16388	4	10	99999	999					1	10				10015						212102002							
2050	霓虹灯Logo图纸	类型：挂饰。	在家具改装时使用，可以将其他家具改装为霓虹灯Logo。	Assets/Product/Texture/Image/IconTools/IconBluePunktube002.png	Assets/Product/Texture/Image/IconToolsSp/IconBluePunktube002Sp.png	16388	4	10	99999	999					1	10				10015						212102003							
2051	置物架图纸	类型：挂饰。	在家具改装时使用，可以将其他家具改装为置物架。	Assets/Product/Texture/Image/IconTools/IconBluePunklocker003.png	Assets/Product/Texture/Image/IconToolsSp/IconBluePunklocker003Sp.png	16388	4	10	99999	999					1	10				10015						211301001							
2052	朋克地板图纸	类型：地板。	在家具改装时使用，可以将其他家具改装为朋克地板。	Assets/Product/Texture/Image/IconTools/IconBluePunkfloor001.png	Assets/Product/Texture/Image/IconToolsSp/IconBluePunkfloor001Sp.png	16388	4	10	99999	999					1	10				10015						212102001							
2053	朋克天花板图纸	类型：天花板。	在家具改装时使用，可以将其他家具改装为朋克天花板。	Assets/Product/Texture/Image/IconTools/IconBluePunkceiling001.png	Assets/Product/Texture/Image/IconToolsSp/IconBluePunkceiling001Sp.png	16388	4	10	99999	999					1	10				10015						212102002							
2054	朋克Logo墙图纸	类型：墙。	在家具改装时使用，可以将其他家具改装为朋克Logo墙。	Assets/Product/Texture/Image/IconTools/IconBluePunkwall001.png	Assets/Product/Texture/Image/IconToolsSp/IconBluePunkwall001Sp.png	16388	4	10	99999	999					1	10				10015						212102003							
2055	纸窗图纸	类型：挂饰。	在家具改装时使用，可以将其他家具改装为纸窗。	Assets/Product/Texture/Image/IconTools/IconBlueCherrywindow001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueCherrywindow001Sp.png	16388	4	10	99999	999					1	10				10015						211301001							
2056	坐垫椅图纸	类型：小件-板凳。	在家具改装时使用，可以将其他家具改装为坐垫椅。	Assets/Product/Texture/Image/IconTools/IconBlueCherrychaircushion001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueCherrychaircushion001Sp.png	16388	4	10	99999	999					1	10				10015						211301001							
2057	盆栽竹图纸	类型：小件-物件。	在家具改装时使用，可以将其他家具改装为盆栽竹。	Assets/Product/Texture/Image/IconTools/IconBlueCherrybamboo001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueCherrybamboo001Sp.png	16388	4	10	99999	999					1	10				10015						211301001							
2058	樱花和扇图纸	类型：挂饰。	在家具改装时使用，可以将其他家具改装为樱花和扇。	Assets/Product/Texture/Image/IconTools/IconBlueCherryfan001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueCherryfan001Sp.png	16388	4	10	99999	999					1	10				10015						211301001							
2059	挂画墙图纸	类型：挂饰。	在家具改装时使用，可以将其他家具改装为挂画墙。	Assets/Product/Texture/Image/IconTools/IconBlueCherrypicture001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueCherrypicture001Sp.png	16388	4	10	99999	999					1	10				10015						211301001							
2060	和风立柜图纸	类型：大件-柜子。	在家具改装时使用，可以将其他家具改装为和风立柜。	Assets/Product/Texture/Image/IconTools/IconBlueCherrycabinet001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueCherrycabinet001Sp.png	16388	4	10	99999	999					1	10				10015						211301001							
2061	地铺图纸	类型：物件。	在家具改装时使用，可以将其他家具改装为地铺。	Assets/Product/Texture/Image/IconTools/IconBlueCherryshakedown001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueCherryshakedown001Sp.png	16388	4	10	99999	999					1	10				10015						211301001							
